stop_id,stop_lat,stop_lon,stop_name
109891,42.373301,-70.989729,Pleasant St @ Somerset Ave
109892,42.37431,-70.991123,Pauline St @ Pleasant St
109893,42.375811,-70.987602999999993,Pauline St @ Woodside Ave
109894,42.378201999999995,-70.985457,Hermon St @ Belcher St
109895,42.379628,-70.985699,Hermon St @ Lincoln St
109898,42.372758,-70.971283,Shirley St @ Washington Ave
109899,42.385674,-70.976635,Revere St @ Golden Dr
109900,42.385582,-70.976529,Revere St @ Hutchinson St
109901,42.380764,-70.97499599999999,Shirley St @ Beach Rd
109905,42.376864999999995,-70.984489,Pauline St @ Hermon St
109915,42.377011,-70.984515,Hermon St @ Pauline St
11,42.334762999999995,-71.084459,Melnea Cass Blvd opp Kerr Way
110,42.373259,-71.118124,Massachusetts Ave @ Holyoke St
1100,42.355618,-71.16246,Brooks St @ Hobart St
1102,42.358297,-71.157999,N Beacon St @ Parsons St
1103,42.357577,-71.15402399999999,N Beacon St @ Goodenough St
1104,42.357,-71.152801,N Beacon St opp Vineland St
1105,42.356155,-71.14946499999999,N Beacon @ Market St
11070,42.357031,-71.14597599999999,Guest St @ Life St
11071,42.356313,-71.141651,Arthur St @ Guest St - Stop & Shop
1109,42.354115,-71.14151,N Beacon St @ Saunders St
111,42.317184,-71.040238,Mt Vernon St @ South Point Dr
1110,42.353583,-71.138173,N Beacon St @ Cambridge St
1111,42.353931,-71.136365,Cambridge St opp Hano St
111146,42.303676,-70.919766,Pemberton Point
111152,42.303427,-70.913293,Main St from Pemberton Pnt to Spring St (FLAG)
111159,42.302958,-70.902498,Spring St from Main St to Nantasket Ave (FLAG)
111179,42.298618999999995,-70.882178,Nantasket Ave from Y St to A St (FLAG)
111196,42.287379,-70.876717,Nantasket Ave from A St to Kenberma St (FLAG)
1112,42.355485,-71.132615,Cambridge St @ Harvard Ave
111206,42.279455,-70.869833,Nantasket Ave from Kenberma St to Bay St (FLAG)
111214,42.27314,-70.86018,Nantasket Ave from Bay St to Wash Blvd (FLAG)
111217,42.270703999999995,-70.856877,Nantasket Ave from Wash Blvd to Park Ave (FLAG)
111219,42.267539,-70.85329999999999,Park Ave from Nantasket Ave to Rockland Cir (FLAG)
111220,42.266442,-70.853888,Rockland Cir from Park to Rockland House Rd (FLAG)
111222,42.264869999999995,-70.85755,Wash Blvd from Rockland House Rd to Med Ctr (FLAG)
111223,42.263534,-70.859295,Wash Blvd @ Hull Medical Ctr (FLAG)
111232,42.265539,-70.846749,Atlantic Ave - Nantasket Ave to School St (FLAG)
111234,42.264411,-70.84597,School St - Atlantic Ave to Nantasket Ave (FLAG)
111236,42.261534999999995,-70.845016,Nantasket Ave from School St to Rockland St (FLAG)
111248,42.247716,-70.876317,Summer St from Rockland St to Cushing Way (FLAG)
111251,42.245686,-70.882913,Summer St from Cushing Way to Water St (FLAG)
111258,42.245593,-70.882668,Summer St from Water St to Cushing Way (FLAG)
11131,42.318993,-71.111932,Centre St @ Roseway St
1114,42.357758,-71.126505,Cambridge St @ N Harvard St
11148,42.331221,-71.090588,Malcolm X Blvd @ Madison Park HS
11149,42.330732,-71.08842,Malcolm X Blvd @ O'Bryant HS
1115,42.358658,-71.123967,Cambridge St @ Seattle St
11158,42.338393,-71.070917,Harrison Ave @ E Brookline St
1116,42.360620999999995,-71.118743,Cambridge St @ Mass Pike Exit
11164,42.311466,-71.11449999999999,Centre St @ Burroughs St
111640,42.13982,-71.148314,"Cobbs Corner, Canton"
111642,42.144333,-71.149085,Washington St from Cobbs Corner to High St (FLAG)
111648,42.150599,-71.149245,Washington St from High St to Church St (FLAG)
111653,42.154215,-71.14568899999999,Washington St - Church St to Canton Ctr Sta (FLAG)
111656,42.156617,-71.145462,Washington St opp Canton Center Station
111660,42.158794,-71.14491799999999,Washington St - Canton Ctr Sta to Pequit St (FLAG)
111672,42.172307000000004,-71.13919899999999,Washington St - Chapman St to Pleasant St (FLAG)
111685,42.185813,-71.121815,Washington St - Pecunit St to Turnpike St (FLAG)
111711,42.250043999999995,-71.10203899999999,Blue Hill Ave - Barbara Ln to Valentine Rd (FLAG)
111720,42.256212999999995,-71.098837,Blue Hill Ave @ Hudson St
111729,42.262626999999995,-71.095503,Blue Hill Ave - Tucker St to Brush Hill Rd (FLAG)
111738,42.262865999999995,-71.095677,Blue Hill Ave - Brush Hill Rd to Tucker St (FLAG)
111747,42.256352,-71.099047,Blue Hill Ave @ Amor Rd
111762,42.239391,-71.108505,Blue Hill Ave from Barbara Ln to Curry Coll (FLAG)
111775,42.197154,-71.119299,Washington St from Royall St to Turnpike St (FLAG)
111787,42.176598,-71.13143,Washington St - Pecunit St to Pleasant St (FLAG)
111791,42.172526,-71.139085,Washington St - Pleasant St to Chapman St (FLAG)
111796,42.165614,-71.142813,Washington St from Chapman St to Lewis St (FLAG)
111801,42.159019,-71.145006,Washington St - Lewis St to Canton Ctr sta (FLAG)
111803,42.156685,-71.14566099999999,Washington St @ Canton Center Station
111806,42.154326,-71.145862,Washington St - Canton Ctr Sta to Church St (FLAG)
111810,42.150784,-71.149384,Washington St from Church St to High St (FLAG)
111815,42.14423,-71.149281,Washington St from High St to Cobbs Corner (FLAG)
111823,42.255329,-70.851812,Rockland St from Kilby St to Nantasket Ave (FLAG)
111828,42.264125,-70.845936,School St - Nantasket Ave to Atlantic Ave (FLAG)
111830,42.265653,-70.84662,Atlantic Ave - School St to Nantasket Ave (FLAG)
111842,42.266352,-70.853777,Rockland Circle from Rockland House to Park (FLAG)
111844,42.270665,-70.856588,Nantasket Ave from Park Ave to Wash Blvd (FLAG)
111848,42.274431,-70.860687,Nantasket Ave from Wash Blvd to Water St (FLAG)
111855,42.279495999999995,-70.869545,Nantasket Ave from Water St to Kenberma St (FLAG)
111864,42.287264,-70.876468,Nantasket Ave from Kenburma St to A St (FLAG)
11187,42.314537,-71.099631,Washington St @ School St
111881,42.29848,-70.881953,Nantasket Ave from A St to Y St (FLAG)
111895,42.308765,-70.889696,Nantasket Ave from Y St to Spring St (FLAG)
111907,42.303557,-70.913072,Main St from Spring St to Pemberton Pnt (FLAG)
11219,42.348062,-71.050338,A St @ Necco St
11228,42.337782,-71.083038,Tremont St @ Lenox St
1123,42.364935,-71.104405,Green St @ Magazine St
11241,42.329919,-71.06178299999999,South Bay Mall @ Target
11242,42.327476999999995,-71.061819,South Bay Mall @ Office Max
11244,42.326102,-71.062666,South Bay Mall @ Allstate Rd
11245,42.345465999999995,-71.0698,Tremont St @ Berkeley St
11257,42.331197,-71.092692,Malcolm X Blvd @ King St
11259,42.329483,-71.086203,Malcolm X Blvd @ Shawmut Ave
1128,42.308588,-71.115487,South St @ Sedgwick St
1129,42.312197999999995,-71.114144,Centre St @ Seaverns Ave
113,42.364737,-71.062198,Portland St @ Causeway St
1130,42.314462,-71.114046,Centre St @ Saint John St
11302,42.348388,-71.129539,Harvard St @ Verndale St
11319,42.343047,-71.055038,W Second St opp W Third St
1132,42.316493,-71.11366,Centre St opp Beaufort Rd
11323,42.330801,-71.089207,Malcolm X Blvd opp O'Bryant HS
1134,42.321048,-71.110438,Centre St @ Paul Gore St
1135,42.322164,-71.10904,Centre St @ Sheridan St
1136,42.3225,-71.10677199999999,Centre St @ Wyman St
11366,42.332409,-71.116433,Pearl St @ Brookline Village
1137,42.322683999999995,-71.10466199999999,Centre St @ Mozart St
1138,42.322886,-71.102796,Centre St @ Estrella St
11384,42.347345999999995,-71.07595599999999,Dartmouth St @ Back Bay Sta
11388,42.345344,-71.082045,Huntington Ave @ Belvidere St
11389,42.345355,-71.081535,Huntington Ave @ Prudential Station
11390,42.347779,-71.085476,Dalton St @ Boylston St
11391,42.347386,-71.08749499999999,Boylston St @ Massachusetts Ave
114,42.366114,-71.060067,Causeway St @ North Station
1140,42.324791,-71.097571,Centre St @ Highland St
11408,42.372800999999995,-71.094184,Cambridge St @ Columbia St
1141,42.326102,-71.09653399999999,Centre St opp New Heath St
11410,42.371928,-71.087532,Cambridge St @ Max Ave
11413,42.313455,-71.095355,Columbus Ave @ Walnut Ave
11419,42.34644,-71.05161799999999,A St @ Mt Washington Ave
1142,42.327777999999995,-71.095518,Centre St @ Cedar St
1143,42.328697,-71.094921,Centre St @ Linwood St
1144,42.329657,-71.093032,Centre St @ Highland Ave
1145,42.329752,-71.090903,42A John Eliot Sq
1147,42.328969,-71.08620599999999,Dudley St @ Guild Row
1148,42.329687,-71.08613,Malcolm X Blvd @ Shawmut Ave
11481,42.346301,-71.063361,Herald St @ Harrison Ave
11482,42.318783,-71.069142,Dudley St @ Uphams Corner Station
114878,42.267545,-70.85140799999999,Nantasket Ave from Atlantic Ave to Park Ave (FLAG)
114882,42.267523999999995,-70.851699,Nantasket Ave from Park Ave to Atlantic Ave (FLAG)
114886,42.260866,-70.86224399999999,Wash Blvd from Rockland St to Hull Med Ctr (FLAG)
114887,42.263217999999995,-70.859479,Wash Blvd Opp Hull Medical Ctr (FLAG)
114888,42.270226,-70.857124,Wash Blvd - Rockland House Rd to Nantasket Ave
114893,42.270275,-70.85740899999999,Wash Blvd - Nantasket Ave to Rockland House Rd
114895,42.263216,-70.859976,Hull Medical Center (FLAG)
114896,42.26108,-70.862254,Wash Blvd from Hull Med Ctr to Rockland St (FLAG)
1149,42.330096,-71.091343,205 Roxbury St
1150,42.329386,-71.094099,Centre St @ Gardner St
11501,42.317585,-71.066499,Dudley St @ Virginia St
1151,42.327548,-71.095812,Centre St @ Cedar St
11512,42.307218,-71.06600399999999,Bowdoin opp Mt Ida
1152,42.326052999999995,-71.096665,Centre St @ New Heath St
11521,42.300388,-71.10663199999999,Morton St @ Arborway
11522,42.300643,-71.106355,Morton St @ Circuit Dr
