x,y,dept_name
927.4815661186848,3.208325135642879e-4,Assembly
936.6240460751354,3.23716326013379e-4,Assembly
945.7665260315861,3.279531544093674e-4,Assembly
954.9090059880367,3.330637179739304e-4,Assembly
964.0514859444874,3.385281559122052e-4,Assembly
973.193965900938,3.4381617545559687e-4,Assembly
982.3364458573886,3.483157908557624e-4,Assembly
991.4789258138393,3.516088770670004e-4,Assembly
1000.6214057702899,3.5338838529421705e-4,Assembly
1009.7638857267406,3.534634177814062e-4,Assembly
1018.9063656831912,3.5177542765124935e-4,Assembly
1028.048845639642,3.483980323169937e-4,Assembly
1037.1913255960926,3.435276053086145e-4,Assembly
1046.3338055525433,3.374660601830547e-4,Assembly
1055.476285508994,3.3059772150559276e-4,Assembly
1064.6187654654445,3.233623983259738e-4,Assembly
